"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"825622","FUTIND","BSESEN","FUTURE","27-Aug-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7586780,"SENSEX"
"826625","FUTIND","BANKEX","FUTURE","27-Aug-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6179659,"BANKEX"
"830589","FUTIND","BSEFOC","FUTURE","27-Aug-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,100,"BSE FOCUSED IT INDEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3500290,"FOCIT"
"1105863","FUTIND","BSESEN","FUTURE","25-Jun-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",69440,0,20,5,"BSE SENSEX","","","","",68804.6,84094.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7638560,"SENSEX"
"1170606","FUTIND","BSEFOC","FUTURE","25-Jun-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",5355,0,45,100,"BSE FOCUSED IT INDEX","","","","",31666,38703,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3495400,"FOCIT"
"1144507","FUTIND","BSESEN","FUTURE","30-Jul-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2860,0,20,5,"BSE SENSEX","","","","",69282.55,84678.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7696685,"SENSEX"
"1146288","FUTIND","BANKEX","FUTURE","30-Jul-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",56436.7,68978.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6170688,"BANKEX"
"1161039","FUTIND","BSEFOC","FUTURE","30-Jul-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,100,"BSE FOCUSED IT INDEX","","","","",31896,38985,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3517470,"FOCIT"
"1107543","FUTIND","BANKEX","FUTURE","25-Jun-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",56139.8,68615.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6206725,"BANKEX"
"820062","OPTIND","BSEFOC","OPTION","25-Jun-2026","26000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,5,"BSE FOCUSED IT INDEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3348063,"FOCIT"
"820098","OPTIND","BANKEX","OPTION","30-Jul-2026","53200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6022055,"BANKEX"
"820165","OPTIND","BANKEX","OPTION","30-Jul-2026","53200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6022055,"BANKEX"
"820167","OPTIND","BSEFOC","OPTION","30-Jul-2026","26000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,5,"BSE FOCUSED IT INDEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3348063,"FOCIT"
"820230","OPTIND","BSEFOC","OPTION","30-Jul-2026","26000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,5,"BSE FOCUSED IT INDEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3348063,"FOCIT"
"820254","OPTIND","BSESEN","OPTION","25-Jun-2026","87000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",46860,0,20,5,"BSE SENSEX","","","","",7641.7,13168.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7586780,"SENSEX"
"820268","OPTIND","BSESEN","OPTION","31-Dec-2026","87000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",7577.9,11397,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"820288","OPTIND","BSEFOC","OPTION","25-Jun-2026","26000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,5,"BSE FOCUSED IT INDEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3348063,"FOCIT"
"820321","OPTIND","BSESEN","OPTION","02-Jul-2026","69100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820325","OPTIND","BSESEN","OPTION","02-Jul-2026","76100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",294.4,2658.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820326","OPTIND","BSESEN","OPTION","02-Jul-2026","78400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",1051.95,4585.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820329","OPTIND","BSESEN","OPTION","02-Jul-2026","70100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,225.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820330","OPTIND","BSESEN","OPTION","02-Jul-2026","72400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,718.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820331","OPTIND","BSESEN","OPTION","02-Jul-2026","74700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",67.8,1739.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820332","OPTIND","BSESEN","OPTION","02-Jul-2026","79100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,1519.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820339","OPTIND","BSESEN","OPTION","02-Jul-2026","73100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",1502.2,6056.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
"820340","OPTIND","BSESEN","OPTION","02-Jul-2026","75400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",420.2,3971.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7539872,"SENSEX"
