symbol,entry_date,exit_date,entry_price,exit_price,shares,position_value,exit_value,pnl,pnl_pct,days_held,exit_reason,exit_strength
INFY,2023-01-27,2023-02-02,1339.83,1257.21,7,9378.81,8800.470000000001,-578.3399999999983,-0.06166453953113447,6,stop_loss,1.0
HINDUNILVR,2023-01-27,2023-02-03,2508.39,2333.46,3,7525.17,7000.38,-524.79,-0.06973795940822593,7,stop_loss,1.0
RELIANCE,2023-02-02,2023-02-10,2194.51,2573.21,3,6583.530000000001,7719.63,1136.0999999999995,0.17256699673275575,8,target_achieved,1.0
TCS,2023-02-08,2023-02-17,2873.38,3029.12,3,8620.14,9087.36,467.22000000000116,0.05420097585422039,9,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
INFY,2023-02-13,2023-02-23,1304.85,1226.0,7,9133.949999999999,8582.0,-551.9499999999989,-0.06042840173199978,10,stop_loss,1.0
RELIANCE,2023-02-15,2023-03-14,2450.93,2597.99,3,7352.789999999999,7793.969999999999,441.1800000000003,0.06000171363523232,27,trend_reversal,0.6
HDFCBANK,2023-03-02,2023-03-17,1330.21,1489.49,6,7981.26,8936.94,955.6800000000003,0.11974049210275067,15,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
RELIANCE,2023-03-21,2023-03-22,2836.6,2620.9,3,8509.8,7862.700000000001,-647.0999999999985,-0.07604174011140091,1,stop_loss,1.0
INFY,2023-03-15,2023-03-22,1247.97,1164.32,6,7487.82,6985.92,-501.89999999999964,-0.06702885486029318,7,stop_loss,1.0
TCS,2023-03-15,2023-03-28,3490.6,3302.97,2,6981.2,6605.94,-375.2600000000002,-0.053752936457915575,13,stop_loss,1.0
HDFCBANK,2023-03-23,2023-03-29,1481.5,1370.38,5,7407.5,6851.900000000001,-555.5999999999995,-0.07500506243671946,6,stop_loss,1.0
HINDUNILVR,2023-03-21,2023-03-29,1924.2,2101.67,4,7696.8,8406.68,709.8800000000001,0.09223053736617816,8,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
RELIANCE,2023-04-10,2023-04-21,2707.5,2560.81,3,8122.5,7682.43,-440.0699999999997,-0.05417913204062791,11,stop_loss,1.0
TCS,2023-04-06,2023-04-24,3488.52,3875.73,2,6977.04,7751.46,774.4200000000001,0.11099549379106327,18,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HINDUNILVR,2023-04-11,2023-04-24,2128.86,1960.7,3,6386.58,5882.1,-504.47999999999956,-0.07899063348458803,13,stop_loss,1.0
INFY,2023-04-20,2023-05-02,1007.06,927.91,7,7049.42,6495.37,-554.0500000000002,-0.07859511846364664,12,stop_loss,1.0
TCS,2023-04-25,2023-05-05,3780.95,3435.84,2,7561.9,6871.68,-690.2199999999993,-0.09127600206297351,10,stop_loss,1.0
HDFCBANK,2023-05-04,2023-05-11,1318.09,1247.39,5,6590.45,6236.950000000001,-353.4999999999991,-0.05363821893800865,7,stop_loss,1.0
HINDUNILVR,2023-05-03,2023-05-17,2077.17,1939.03,4,8308.68,7756.12,-552.5600000000004,-0.06650394527169182,14,stop_loss,1.0
INFY,2023-05-09,2023-05-19,964.22,889.42,7,6749.54,6225.94,-523.6000000000004,-0.07757565700773689,10,stop_loss,1.0
RELIANCE,2023-04-28,2023-05-23,2771.93,2624.03,3,8315.789999999999,7872.09,-443.6999999999989,-0.05335632573694128,25,stop_loss,1.0
INFY,2023-05-23,2023-05-29,945.36,854.68,10,9453.6,8546.8,-906.8000000000011,-0.09592113057459599,6,stop_loss,1.0
TCS,2023-06-19,2023-06-27,3133.37,2942.28,2,6266.74,5884.56,-382.1799999999994,-0.0609854565531679,8,stop_loss,1.0
RELIANCE,2023-06-08,2023-06-29,2774.49,3155.33,3,8323.47,9465.99,1142.5200000000004,0.1372648666962217,21,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HINDUNILVR,2023-06-20,2023-07-06,1851.23,2130.99,4,7404.92,8523.96,1119.039999999999,0.15112114648098818,16,target_achieved,1.0
TCS,2023-07-07,2023-07-14,2982.27,2761.1,3,8946.81,8283.3,-663.5100000000002,-0.0741616285581118,7,stop_loss,1.0
INFY,2023-07-14,2023-07-21,750.36,699.46,10,7503.6,6994.6,-509.0,-0.06783410629564472,7,stop_loss,1.0
RELIANCE,2023-07-20,2023-07-27,3696.01,3499.06,1,3696.01,3499.06,-196.95000000000027,-0.053287193487030676,7,stop_loss,1.0
TCS,2023-07-24,2023-07-27,2873.16,2709.83,2,5746.32,5419.66,-326.65999999999985,-0.056846816745325685,3,stop_loss,1.0
INFY,2023-07-24,2023-07-28,709.43,658.88,10,7094.299999999999,6588.8,-505.4999999999991,-0.07125438732503553,4,stop_loss,1.0
HDFCBANK,2023-07-13,2023-08-02,837.13,773.38,9,7534.17,6960.42,-573.75,-0.07615304671914756,20,stop_loss,1.0
INFY,2023-08-09,2023-08-17,712.9,662.2,10,7129.0,6622.0,-507.0,-0.0711179688595875,8,stop_loss,1.0
HINDUNILVR,2023-07-07,2023-08-18,2052.82,1943.55,4,8211.28,7774.2,-437.08000000000084,-0.05322921639500794,42,stop_loss,1.0
TCS,2023-08-22,2023-08-25,2589.16,2425.47,3,7767.48,7276.41,-491.0699999999997,-0.0632212763985231,3,stop_loss,1.0
RELIANCE,2023-08-23,2023-09-14,3525.56,3282.8,2,7051.12,6565.6,-485.5199999999995,-0.06885714609877573,22,stop_loss,1.0
HDFCBANK,2023-08-08,2023-09-14,825.51,755.64,10,8255.1,7556.4,-698.7000000000007,-0.08463858705527492,37,stop_loss,1.0
TCS,2023-09-07,2023-09-21,2426.56,2663.59,2,4853.12,5327.18,474.0600000000004,0.09768149149413169,14,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HINDUNILVR,2023-09-05,2023-09-21,2026.25,2137.37,3,6078.75,6412.11,333.3599999999997,0.05484022208513258,16,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
TCS,2023-09-25,2023-09-27,2512.64,2349.2,3,7537.92,7047.599999999999,-490.3200000000006,-0.06504712175241979,2,stop_loss,1.0
INFY,2023-08-31,2023-10-03,686.44,796.62,11,7550.84,8762.82,1211.9799999999996,0.16050929433016714,33,target_achieved,1.0
HINDUNILVR,2023-09-26,2023-10-24,2143.46,1979.46,3,6430.38,5938.38,-492.0,-0.07651180801134615,28,stop_loss,1.0
TCS,2023-10-18,2023-10-26,2426.4,2224.62,3,7279.200000000001,6673.86,-605.340000000001,-0.08316023738872412,8,stop_loss,1.0
INFY,2023-10-06,2023-10-31,772.71,800.26,11,8499.810000000001,8802.86,303.0499999999993,0.035653738142381944,25,trend_reversal,0.6
RELIANCE,2023-11-03,2023-11-10,2805.69,3062.88,3,8417.07,9188.64,771.5699999999997,0.09166729039915317,7,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HDFCBANK,2023-11-03,2023-11-15,711.51,655.24,10,7115.1,6552.4,-562.7000000000007,-0.07908532557518515,12,stop_loss,1.0
